Product Name,Product Price (EGP),Product Rating,Product Image
Samsung Galaxy A24 - 6.5 inches 128GB/6GB RAM - Dual SIM 4G Mobile Phone – Silver,"7,899.00",4.3,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/058994/1.jpg?8082
Samsung Galaxy A24 - 6.5 inches 128GB/6GB RAM - Dual SIM 4G Mobile Phone – Black,"7,899.00",4.4,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/188644/1.jpg?5288
Samsung A24 6.5 Inch 128GB/8GB Dual SIM Mobile Phone – Black,"8,499.00",4.9,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/505554/1.jpg?9984
Nokia Nokia 105 1.8-inch Dual SIM Mobile Phone - Black,600.00,3,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/577294/1.jpg?8123
Samsung Galaxy A24 - 6.5-inch 128GB/8GB Dual Sim 4G Mobile Phone - Silver,"8,999.00",4.7,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/278454/1.jpg?6903
Samsung Galaxy A14 - 6.6-inch 4GB/128GB Dual Sim 4G - Mobile Phone - Black,"6,699.00",4,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/560234/1.jpg?3536
Samsung Galaxy A04s - 6.5-inch 3GB/32GB Dual Sim 4G Mobile Phone - Black,"3,999.00",4.2,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/609044/1.jpg?7063
Iku S3 Dual SIM Mobile Phone – Gray,515.00,1,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/387593/1.jpg?8316
realme 11 Pro Plus 6.7inch 512GB/12GB Dual SIM Mobile Phone - Sunrise Beige,"17,394.00",1,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/856094/1.jpg?0585
Samsung Galaxy A14 - 6.6-inch 4GB/64GB Dual Sim 4G - Mobile Phone - Light Green,"5,777.00",4.6,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/762534/1.jpg?8696
XIAOMI Redmi 10 2022- 6.5-inch 64GB/4GB Single SIM Mobile Phone - Sea Blue,"5,999.00",4.7,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/045104/1.jpg?5657
XIAOMI Redmi 12C - 6.71-inch 4GB/128GB Dual Sim 4G Mobile Phone - Graphite Gray,"5,495.00",5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/992014/1.jpg?2587
Samsung Galaxy A04s - 6.5-inch 3GB/32GB Dual Sim 4G Mobile Phone - Copper,"3,999.00",4.1,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/609044/1.jpg?7064
OPPO A78 - 6.43-Inch 256GB/8GB 4G Mobile Phone - Mist Black,"8,940.00",4.7,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/771284/1.jpg?9244
Samsung Galaxy A24 - 6.5-inch 128GB/6GB Dual Sim 4G Mobile Phone - Silver,"8,195.00",4.5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/446844/1.jpg?3590
XIAOMI Redmi 12C - 6.71-inch 6GB/128GB Dual Sim 4G Mobile Phone - Ocean Blue,"5,990.00",5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/810754/1.jpg?7405
Samsung Galaxy A14 - 6.6-inch 4GB/64GB Dual Sim 4G - Mobile Phone - Black,"5,774.00",4.3,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/560234/1.jpg?3531
XIAOMI Redmi 12C – 6.71 Inch – 4GB/128GB RAM - Dual SIM - 4G Mobile Phone – Ocean Blue,"5,499.00",4.2,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/513084/1.jpg?8276
OPPO Reno 8T - 6.43 Inch - 8GB/256GB RAM - 4G - Dual SIM Mobile Phone - Sunset Orange,"11,111.00",5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/856094/1.jpg?6963
Nokia Egypt Nokia 106 -1.8-inch Dual SIM Mobile Phone - Black,669.00,3.4,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/074193/1.jpg?5349
OPPO Reno 8 T - 6.43-inch 256GB/8GB Dual SIM 4G Mobile Phone - Sunset Orange (D),"11,299.99",4.8,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/545744/1.jpg?2624
OPPO A78 - 6.43-inch 256GB/8GB Dual SIM 4G Mobile Phone - Aqua Green (D),"8,999.99",5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/062084/1.jpg?0044
Samsung Galaxy A34 5G - 6.6-inch 8GB/128GB Dual Sim - Mobile Phone - Awesome Graphite,"12,444.00",5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/792844/1.jpg?5482
Iku S3 Dual SIM Mobile Phone – Blue,515.00,3.7,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/387593/1.jpg?8317
realme C55 – 6.72 Inch – 256GB/8GB RAM – Dual SIM 4G Mobile Phone – Rainy Night,"7,690.00",4,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/516174/1.jpg?7032
Nokia C10 - 6.52-inch 32GB/2GB Dual Sim Mobile Phone - Light Purple,"2,599.99",4.7,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/640773/1.jpg?3159
realme C55 6.7inch 256GB/8GB Dual SIM Mobile Phone - Rainy Night,"7,900.00",5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/856094/1.jpg?6961
Nokia 210 - 2.4-inch Dual SIM Mobile Phone - Black,"1,199.00",3.3,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/677893/1.jpg?9840
"Nokia C1 2nd Edition Dual SIM 16GB, 1GB RAM, 3G, Purple","1,999.00",4,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/867054/1.jpg?6486
